"DRUG CONSULT PHARMACY","52 SHIPEOLU STREET PALM GROOVE LAGOS STATE. 
TEL: 08023162832","Monday, July 23, 2018", 8:44:26 pm,"Stock Price Listing Report","Filter:-Prod. Type :","ANALGESIC",,,"Default","Product Code","Product Name","Unit of Measure","Sell price",1,1,"CO004","CO-CODAMOL TABS 8/500 X 100 (SATCHET)",,"UNIT",250.00,,,,,,,"Page -1 of 1","SupaWare Innovations(+2348051161664,+2348032682034) http://www.supawareinnovations.com/"
"DRUG CONSULT PHARMACY","52 SHIPEOLU STREET PALM GROOVE LAGOS STATE. 
TEL: 08023162832","Monday, July 23, 2018", 8:44:26 pm,"Stock Price Listing Report","Filter:-Prod. Type :","ANALGESIC",,,"Default","Product Code","Product Name","Unit of Measure","Sell price",2,2,"PAR004","PARACETAMOL (EMZOR)  TABS 500MG X 96",,"SACHET",40.00,"PACK",300.00,,,,,"Page -1 of 1","SupaWare Innovations(+2348051161664,+2348032682034) http://www.supawareinnovations.com/"
"DRUG CONSULT PHARMACY","52 SHIPEOLU STREET PALM GROOVE LAGOS STATE. 
TEL: 08023162832","Monday, July 23, 2018", 8:44:26 pm,"Stock Price Listing Report","Filter:-Prod. Type :","ANALGESIC",,,"Default","Product Code","Product Name","Unit of Measure","Sell price",3,3,"PAR006","PARACETAMOL (M&B)  TABS 500MG X 96",,"SACHET",50.00,"PACK",380.00,,,,,"Page -1 of 1","SupaWare Innovations(+2348051161664,+2348032682034) http://www.supawareinnovations.com/"
"DRUG CONSULT PHARMACY","52 SHIPEOLU STREET PALM GROOVE LAGOS STATE. 
TEL: 08023162832","Monday, July 23, 2018", 8:44:26 pm,"Stock Price Listing Report","Filter:-Prod. Type :","ANTIBIOTICS",,,"Default","Product Code","Product Name","Unit of Measure","Sell price",1,4,"AMP004","AMPICLOX (BEECHAM)  SUSP 250MG/5ML",,"UNIT","1,500.00",,,,,,,"Page -1 of 1","SupaWare Innovations(+2348051161664,+2348032682034) http://www.supawareinnovations.com/"
"DRUG CONSULT PHARMACY","52 SHIPEOLU STREET PALM GROOVE LAGOS STATE. 
TEL: 08023162832","Monday, July 23, 2018", 8:44:26 pm,"Stock Price Listing Report","Filter:-Prod. Type :","ANTICONVULSANT",,,"Default","Product Code","Product Name","Unit of Measure","Sell price",1,5,"TEG002","TEGRETOL CR 400 TABS  X 30 (SAC)",,"UNIT","2,000.00",,,,,,,"Page -1 of 1","SupaWare Innovations(+2348051161664,+2348032682034) http://www.supawareinnovations.com/"
"DRUG CONSULT PHARMACY","52 SHIPEOLU STREET PALM GROOVE LAGOS STATE. 
TEL: 08023162832","Monday, July 23, 2018", 8:44:26 pm,"Stock Price Listing Report","Filter:-Prod. Type :","B.P. DRUGS",,,"Default","Product Code","Product Name","Unit of Measure","Sell price",1,6,"AML003","AMLONG-10 TABS  X 30 (SATCHET)",,"UNIT",300.00,,,,,,,"Page -1 of 1","SupaWare Innovations(+2348051161664,+2348032682034) http://www.supawareinnovations.com/"
"DRUG CONSULT PHARMACY","52 SHIPEOLU STREET PALM GROOVE LAGOS STATE. 
TEL: 08023162832","Monday, July 23, 2018", 8:44:26 pm,"Stock Price Listing Report","Filter:-Prod. Type :","COUGH/COLD",,,"Default","Product Code","Product Name","Unit of Measure","Sell price",1,7,"ASM004","ASMANOL PLAIN",,"UNIT",200.00,,,,,,,"Page -1 of 1","SupaWare Innovations(+2348051161664,+2348032682034) http://www.supawareinnovations.com/"
"DRUG CONSULT PHARMACY","52 SHIPEOLU STREET PALM GROOVE LAGOS STATE. 
TEL: 08023162832","Monday, July 23, 2018", 8:44:26 pm,"Stock Price Listing Report","Filter:-Prod. Type :","GENERAL",,,"Default","Product Code","Product Name","Unit of Measure","Sell price",1,8,"HYD004","HYDROGEN PEROXIDE (SKG-PHARMA)  SOLUTION",,"UNIT",180.00,,,,,,,"Page -1 of 1","SupaWare Innovations(+2348051161664,+2348032682034) http://www.supawareinnovations.com/"
"DRUG CONSULT PHARMACY","52 SHIPEOLU STREET PALM GROOVE LAGOS STATE. 
TEL: 08023162832","Monday, July 23, 2018", 8:44:26 pm,"Stock Price Listing Report","Filter:-Prod. Type :","GENERAL",,,"Default","Product Code","Product Name","Unit of Measure","Sell price",2,9,"INS003","INSUPEN 30G NEEDLE",,"UNIT",60.00,,,,,,,"Page -1 of 1","SupaWare Innovations(+2348051161664,+2348032682034) http://www.supawareinnovations.com/"
"DRUG CONSULT PHARMACY","52 SHIPEOLU STREET PALM GROOVE LAGOS STATE. 
TEL: 08023162832","Monday, July 23, 2018", 8:44:26 pm,"Stock Price Listing Report","Filter:-Prod. Type :","GENERAL",,,"Default","Product Code","Product Name","Unit of Measure","Sell price",3,10,"SOF004","SOFT FIX 2.5X5M PLASTER",,"PACK",550.00,,,,,,,"Page -1 of 1","SupaWare Innovations(+2348051161664,+2348032682034) http://www.supawareinnovations.com/"
